symbol,asset_type,source,score,signal,confidence,strategy,price,return_5_pct,return_20_pct,atr_pct,rsi_14,avg_dollar_volume,volume_ratio,last_bar,reason,rank,asset_label,selected
JPM,stock,fallback_stocks,53.73,hold,0.0,ensemble,364.76000977,2.0251,6.9364,1.6745,66.85,2321443206.19,0.0374,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",52,Aktie,False
CRDO,stock,screener:growth_technology_stocks,53.32,hold,0.0,ensemble,261.91500854,4.8121,29.2259,8.1956,58.01,1272394046.46,0.0938,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",53,Aktie,False
TER,stock,screener:growth_technology_stocks,53.22,hold,0.0,ensemble,412.86999512,8.8476,28.0773,7.225,58.58,1445104167.82,0.0637,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",54,Aktie,False
MNDY,stock,screener:day_losers,53.21,hold,0.0,ensemble,90.59010315,-2.7273,15.1228,7.2892,56.16,171488392.41,0.0669,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",55,Aktie,False
HL,stock,screener:day_gainers,53.12,hold,0.0,ensemble,18.55500031,10.1187,29.4836,5.039,64.35,737103049.18,0.0372,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",56,Aktie,False
KD,stock,screener:day_losers,52.71,hold,0.0,ensemble,13.46000004,-3.9943,10.7819,6.1027,54.13,58493580.48,0.0364,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",57,Aktie,False
SMH,etf,core_etfs,52.48,hold,0.0,ensemble,589.44000244,1.1567,5.9134,3.5947,53.5,6305744620.42,0.0566,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",58,ETF,True
XLE,etf,core_etfs,52.14,hold,0.0,ensemble,61.65000153,7.2174,6.8828,2.2072,67.45,1648300682.12,0.1,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",59,ETF,True
SLV,etf,core_etfs,51.88,hold,0.0,ensemble,59.08499908,2.7565,16.3549,2.9413,58.08,842940109.95,0.1501,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",60,ETF,True
TTMI,stock,screener:growth_technology_stocks,51.86,hold,0.0,ensemble,142.89500427,4.1433,8.2538,8.5987,52.51,436949559.73,0.043,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",61,Aktie,False
QCOM,stock,fallback_stocks,51.41,hold,0.0,ensemble,166.41999817,-0.8579,-3.1203,4.2191,47.59,1877763844.67,0.0349,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",62,Aktie,False
